Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Message,Ta-Nehisi Coates,Ta-Nehisi Coates (Narrator),9780593916421,audio,read,2024/10/21,2024/10/21,2024/10/21-2024/10/21,1,"",,,,,,,4.0,"","","","",No
Are Prisons Obsolete?,Angela Y. Davis,Angela Y. Davis (Narrator),9781541406544,audio,read,2024/09/06,2024/09/06,2024/09/06-2024/09/06,1,"",,,,,,,3.75,"","","","",No
Vanishing Treasures: A Bestiary of Extraordinary Endangered Creatures,Katherine Rundell,"",9780593947616,audio,to-read,2024/11/25,"","",0,"",,,,,,,,,"",,"",No
The Chalice of the Gods,Rick Riordan,Jesse Bernstein (Narrator),"",audio,read,2024/08/28,2024/08/28,2024/08/28-2024/08/28,1,"",,"","","","","",3.5,"","","","",No
Interpreter of Maladies,Jhumpa Lahiri,Matilda Novak (Narrator),9781565119321,audio,read,2024/10/09,2024/10/08,2024/10/08-2024/10/08,1,"",,"","","","","",4.0,"","","","",No
The Bands of Mourning,Brandon Sanderson,Michael Kramer (Narrator),9781427276438,audio,read,2024/08/22,2024/08/16,2024/08-2024/08/16,1,"",,"","","","","",3.75,"","","","",No
The Great Hunt,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",9780307941169,audio,read,2024/10/16,2024/10/16,2024/10/14-2024/10/16,1,"",,"","","","","",3.5,"","","","",No
The Shadow Rising,Robert Jordan,"Michael Kramer (Narrator), Kate Reading (Narrator)",9781593975340,audio,read,2024/10/30,2024/11/04,2024/10/30-2024/11/04,1,"",,"","","","","",4.25,"","","","",No
Babel: An Arcane History,R.F. Kuang,"Billie Fulford-Brown (Narrator), Chris Lew Kum Hoi (Narrator)",9780008501846,audio,read,2024/08/27,2024/09/05,2024/09/03-2024/09/05,1,"",,"","","","","",5.0,"","","","",No
The God of Small Things,Arundhati Roy,Arundhati Roy (Narrator),9781538407660,audio,read,2024/08/22,2024/08/23,2024/08/22-2024/08/23,1,"",,"","","","","",4.5,"","","","",No
The Left Hand of Darkness,Ursula K. Le Guin,George Guidall (Narrator),9781501930379,audio,read,2024/09/16,2024/09/16,2024/09/16-2024/09/16,1,"",,"","","","","",3.5,"","","","",No
24 Hours in Ancient Rome: A Day in the Life of the People Who Lived There,Philip Matyszak,"","",audio,read,2024/10/04,2024/10/03,2024/10/03-2024/10/03,1,"",,,,,,,3.25,"","","","",No
The Three-Body Problem,Cixin Liu,"Ken Liu (Translator), Luke Daniels (Narrator)",9781427251992,audio,read,2024/11/11,2024/11/14,2024/11/13-2024/11/14,1,"",,"","","","","",3.75,"","","","",No
And the Sky Bled,S. Hati,"",9781959411680,paperback,to-read,2024/11/20,"","",0,"",,,,,,,,,"",,"",No
Heir to the Empire: The 20th Anniversary Edition,Timothy Zahn,Marc Thompson (Narrator),9780307933584,audio,read,2024/09/27,2024/10/25,2024/10/24-2024/10/25,1,"",,"","","","","",4.0,"","","","",No
Wrath of the Triple Goddess,Rick Riordan,Jesse Bernstein (Narrator),9781368107785,audio,read,2024/09/25,2024/09/24,2024/09/24-2024/09/24,1,"",,"","","","","",3.75,"","","","",No
The Eye of the World,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",B00026WUO6,audio,read,2024/11/23,2024/10/11,2024/10/09-2024/10/11,1,"",,"","","","","",3.5,"","","","",No
The Handmaid's Tale,Margaret Atwood,Betty Harris (Narrator),9781980039549,audio,read,2024/11/12,2024/11/12,2024/11/11-2024/11/12,1,"",,"","","","","",4.0,"","","","",No
