Publisher Name,Series Name,Full Title,Release Date,My Rating
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #3,2020-12-02,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #4,2021-02-17,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #5,2021-03-17,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #6,2021-04-21,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #7,2021-05-19,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #8,2021-07-14,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #9,2021-09-08,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #10,2021-10-06,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions Vol. 1: Outlawed TP,2021-05-26,
Marvel Comics,Children of the Vault (2023),Children of the Vault #1,2023-08-09,4.0
Marvel Comics,Children of the Vault (2023),Children of the Vault #2,2023-09-13,4.0
Marvel Comics,Children of the Vault (2023),Children of the Vault #3,2023-10-18,5.0
Marvel Comics,Children of the Vault (2023),Children of the Vault #4,2023-11-15,4.0
DC Comics,Collapser (2019),Collapser TP,2020-08-04,4.0
Image Comics,Crave (2023 - 2024),Crave #1,2023-11-29,
Image Comics,Crave (2023 - 2024),Crave #2,2024-01-10,
Image Comics,Crave (2023 - 2024),Crave #3,2024-02-07,
Image Comics,Crave (2023 - 2024),Crave #4,2024-03-06,
Image Comics,Crave (2023 - 2024),Crave #5,2024-04-03,
Image Comics,Crave (2023 - 2024),Crave #6,2024-05-01,
Image Comics,Curse Words (Vol. 1) (2017 - 2019),Curse Words Vol. 1: The Devil's Devil TP,2017-07-12,4.0
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil Annual #1,2020-08-26,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #1,2019-02-06,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #2,2019-02-27,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #3,2019-03-27,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #4,2019-04-17,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #5,2019-05-15,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #6,2019-05-29,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #7,2019-06-19,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #8,2019-07-17,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #9,2019-08-07,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #10,2019-08-21,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #11,2019-09-11,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #12,2019-10-02,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #13,2019-11-06,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #14,2019-12-04,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #15,2019-12-18,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #16,2020-01-01,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #17,2020-02-05,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #18,2020-02-19,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #19,2020-03-04,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #20,2020-06-10,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #21,2020-07-22,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #22,2020-09-23,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #23,2020-10-21,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #24,2020-11-25,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #25,2020-12-02,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #26,2021-01-27,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #27,2021-02-10,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #28,2021-03-10,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #29,2021-04-14,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #30,2021-05-19,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #31,2021-06-30,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #32,2021-07-28,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #33,2021-08-11,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #34,2021-09-08,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #35,2021-10-27,
Marvel Comics,Daredevil (Vol. 6) (2019 - 2021),Daredevil #36,2021-12-01,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #1,2022-07-13,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #2,2022-08-17,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #3,2022-09-14,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #4,2022-10-12,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #5,2022-11-23,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #6,2022-12-07,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #7,2023-01-11,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #8,2023-02-08,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #9,2023-03-29,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #10,2023-04-26,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #11,2023-05-10,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #12,2023-06-07,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #13,2023-07-05,
Marvel Comics,Daredevil (Vol. 7) (2022 - 2023),Daredevil #14,2023-08-16,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #1,2023-09-13,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #2,2023-10-18,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #4,2023-12-06,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #5,2024-01-17,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #6,2024-02-21,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #7,2024-03-27,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #8,2024-04-24,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #9,2024-05-08,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #10,2024-06-26,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #11,2024-07-10,
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #12,2024-08-07,5.0
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #13,2024-09-04,5.0
Marvel Comics,Daredevil (Vol. 8) (2023 - Present),Daredevil #14,2024-10-02,4.0
DC Comics,Dark Crisis on Infinite Earths (2022),Dark Crisis on Infinite Earths #1,2022-06-07,
DC Comics,Dark Crisis on Infinite Earths (2022),Dark Crisis on Infinite Earths #2,2022-07-05,
DC Comics,Dark Crisis on Infinite Earths (2022),Dark Crisis on Infinite Earths #3,2022-08-02,
DC Comics,Dark Crisis on Infinite Earths (2022),Dark Crisis on Infinite Earths #4,2022-09-06,
DC Comics,Dark Crisis on Infinite Earths (2022),Dark Crisis on Infinite Earths #5,2022-10-04,
DC Comics,Dark Crisis on Infinite Earths (2022),Dark Crisis on Infinite Earths #6,2022-11-08,
DC Comics,Dark Crisis on Infinite Earths (2022),Dark Crisis on Infinite Earths #7,2022-12-20,
DC Comics,Dark Crisis: Big Bang (2022),Dark Crisis: Big Bang #1,2022-12-13,
DC Comics,Dark Crisis: The Dark Army (2022),Dark Crisis: The Dark Army #1,2022-11-22,
DC Comics,Dark Crisis: The Deadly Green (2022),Dark Crisis: The Deadly Green #1,2022-10-04,
DC Comics,Dark Crisis: War Zone (2022),Dark Crisis: War Zone #1,2022-12-06,
DC Comics,Dark Crisis: Worlds Without a Justice League - Batman (2022),Dark Crisis: Worlds Without a Justice League - Batman #1,2022-11-15,
DC Comics,Dark Crisis: Worlds Without a Justice League - Green Arrow (2022),Dark Crisis: Worlds Without a Justice League - Green Arrow #1,2022-10-11,
DC Comics,Dark Crisis: Worlds Without a Justice League - Green Lantern (2022),Dark Crisis: Worlds Without a Justice League - Green Lantern #1,2022-08-09,
DC Comics,Dark Crisis: Worlds Without a Justice League - Wonder Woman (2022),Dark Crisis: Worlds Without a Justice League - Wonder Woman #1,2022-09-13,
DC Comics,Dark Crisis: Worlds Without a Justice League – Superman (2022),Dark Crisis: Worlds Without a Justice League – Superman #1,2022-07-12,
DC Comics,Dark Crisis: Young Justice (2022),Dark Crisis: Young Justice #1,2022-06-21,
DC Comics,Dark Crisis: Young Justice (2022),Dark Crisis: Young Justice #2,2022-07-19,
DC Comics,Dark Crisis: Young Justice (2022),Dark Crisis: Young Justice #3,2022-08-16,
DC Comics,Dark Crisis: Young Justice (2022),Dark Crisis: Young Justice #4,2022-09-20,
DC Comics,Dark Crisis: Young Justice (2022),Dark Crisis: Young Justice #5,2022-10-18,
DC Comics,Dark Crisis: Young Justice (2022),Dark Crisis: Young Justice #6,2022-11-15,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #1,2021-11-02,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #2,2021-12-07,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #3,2022-01-04,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #4,2022-02-01,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #5,2022-03-01,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #6,2022-04-26,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #7,2022-06-07,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #8,2022-11-01,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #9,2023-01-03,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #10,2023-03-28,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #11,2023-06-06,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel #12,2023-08-22,
DC Comics,Dark Knights of Steel: Tales from the Three Kingdoms (2022),Dark Knights of Steel: Tales from the Three Kingdoms #1,2022-09-06,
Marvel Comics,Dark Web: Ms. Marvel (2022 - 2023),Dark Web: Ms. Marvel #1,2022-12-21,
Marvel Comics,Dark Web: Ms. Marvel (2022 - 2023),Dark Web: Ms. Marvel #2,2023-01-11,
Marvel Comics,Dark Web: X-Men (2022 - 2023),Dark Web: X-Men #1,2022-12-14,
Marvel Comics,Dark Web: X-Men (2022 - 2023),Dark Web: X-Men #2,2022-12-28,
Marvel Comics,Dark Web: X-Men (2022 - 2023),Dark Web: X-Men #3,2023-01-18,
Marvel Comics,Dark X-Men (Vol. 2) (2023),Dark X-Men #1,2023-08-16,4.0
Marvel Comics,Dark X-Men (Vol. 2) (2023),Dark X-Men #2,2023-09-20,4.0
Marvel Comics,Dark X-Men (Vol. 2) (2023),Dark X-Men #3,2023-10-25,4.0
Marvel Comics,Dark X-Men (Vol. 2) (2023),Dark X-Men #4,2023-11-15,4.0
Marvel Comics,Dark X-Men (Vol. 2) (2023),Dark X-Men #5,2023-12-13,4.0
Dark Horse Comics,Dawnrunner (2024),Dawnrunner #1,2024-03-20,4.0
DC Comics,DC All In Special (2024),DC All In Special #1,2024-10-02,4.0
DC Comics,DC Comics Essentials: Batman: Hush,DC Comics Essentials: Batman: Hush #1,2014-12-03,
DC Comics,DC Comics Essentials: Batman: The Black Mirror (2014),DC Comics Essentials: Batman: The Black Mirror #1,2014-10-01,
DC Comics,DC Pride 2022 (2022),DC Pride 2022 #1,2022-06-07,
DC Comics,DC Pride: Tim Drake Special (2022),DC Pride: Tim Drake Special #1,2022-06-14,
Marvel Comics,Dead X-Men (2024),Dead X-Men #1,2024-01-31,4.0
Marvel Comics,Dead X-Men (2024),Dead X-Men #2,2024-02-28,4.0
Marvel Comics,Dead X-Men (2024),Dead X-Men #3,2024-03-13,4.0
Marvel Comics,Dead X-Men (2024),Dead X-Men #4,2024-04-17,4.0
Marvel Comics,The Death of Doctor Strange (2021 - 2022),The Death of Doctor Strange #1,2021-09-22,
Marvel Comics,The Death of Doctor Strange (2021 - 2022),The Death of Doctor Strange #2,2021-10-20,
Marvel Comics,The Death of Doctor Strange (2021 - 2022),The Death of Doctor Strange #3,2021-11-24,
Marvel Comics,The Death of Doctor Strange (2021 - 2022),The Death of Doctor Strange #4,2021-12-29,
Marvel Comics,The Death of Doctor Strange (2021 - 2022),The Death of Doctor Strange #5,2022-01-26,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics 2022 Annual,2022-11-29,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1047,2022-01-04,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1048,2022-01-11,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1049,2022-01-18,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1050,2022-01-25,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1051,2022-02-01,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1052,2022-02-08,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1053,2022-02-15,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1054,2022-02-22,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1055,2022-03-01,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1056,2022-03-08,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1057,2022-03-15,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1058,2022-03-22,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1062,2022-07-26,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1063,2022-08-23,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1064,2022-09-27,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1065,2022-10-25,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1066,2022-11-22,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1067,2022-12-27,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1068,2023-01-24,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1069,2023-02-28,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1070,2023-03-28,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1071,2023-04-25,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1072,2023-05-30,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1073,2023-06-27,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1074,2023-09-26,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1075,2023-10-24,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1076,2023-10-31,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1077,2023-11-14,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1078,2023-11-28,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1079,2023-12-12,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1080,2023-12-26,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1081,2024-01-23,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1082,2024-02-27,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1083,2024-03-26,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1085,2024-05-28,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1086,2024-06-25,
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1087,2024-07-24,4.0
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1088,2024-08-28,5.0
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1089,2024-09-25,5.0
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1090,2024-10-23,4.0
Marvel Comics,Devil's Reign (2021 - 2022),Devil's Reign #1,2021-12-08,
Marvel Comics,Devil's Reign (2021 - 2022),Devil's Reign #2,2021-12-29,
Marvel Comics,Devil's Reign (2021 - 2022),Devil's Reign #3,2022-01-26,
Marvel Comics,Devil's Reign (2021 - 2022),Devil's Reign #4,2022-02-09,
Marvel Comics,Devil's Reign (2021 - 2022),Devil's Reign #5,2022-03-09,
Marvel Comics,Devil's Reign (2021 - 2022),Devil's Reign #6,2022-04-06,
Image Comics,Do a Powerbomb (2022),Do a Powerbomb #1,2022-06-15,
Image Comics,Do a Powerbomb (2022),Do a Powerbomb #2,2022-07-20,
Image Comics,Do a Powerbomb (2022),Do a Powerbomb #3,2022-08-17,
Image Comics,Do a Powerbomb (2022),Do a Powerbomb #4,2022-09-14,
Image Comics,Do a Powerbomb (2022),Do a Powerbomb #5,2022-10-12,
Image Comics,Do a Powerbomb (2022),Do a Powerbomb #6,2022-11-09,
Image Comics,Do a Powerbomb (2022),Do a Powerbomb #7,2022-12-07,
Marvel Comics,Doom (Vol. 2) (2024),Doom #1,2024-05-15,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #1,2016-09-14,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #2,2016-10-12,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #3,2016-11-09,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #4,2017-01-25,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #5,2017-03-22,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #6,2017-04-26,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #7,2017-07-26,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #8,2017-09-06,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #9,2017-11-22,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #10,2018-01-24,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #11,2018-04-25,
DC Comics,Doom Patrol (Vol. 6) (2016 - 2018),Doom Patrol #12,2018-10-31,
Marvel Comics,Dr. Strange (2019 - 2020),Dr. Strange #1,2019-12-25,
Marvel Comics,Dr. Strange (2019 - 2020),Dr. Strange #2,2020-01-29,
Marvel Comics,Dr. Strange (2019 - 2020),Dr. Strange #3,2020-02-12,
Marvel Comics,Dr. Strange (2019 - 2020),Dr. Strange #4,2020-03-04,
Marvel Comics,Dr. Strange (2019 - 2020),Dr. Strange #5,2020-07-08,
Marvel Comics,Dr. Strange (2019 - 2020),Dr. Strange #6,2020-08-05,
Marvel Comics,Edge of Spider-Verse (Vol. 1) (2014),Edge of Spider-Verse #1,2014-09-10,
Marvel Comics,Edge of Spider-Verse (Vol. 1) (2014),Edge of Spider-Verse #2,2014-09-17,
Marvel Comics,Edge of Spider-Verse (Vol. 1) (2014),Edge of Spider-Verse #3,2014-09-24,
Marvel Comics,Edge of Spider-Verse (Vol. 1) (2014),Edge of Spider-Verse #4,2014-10-01,
Marvel Comics,Edge of Spider-Verse (Vol. 1) (2014),Edge of Spider-Verse #5,2014-10-15,
Image Comics,Eight Billion Genies (2022 - 2023),Eight Billion Genies #1,2022-05-11,
Image Comics,Eight Billion Genies (2022 - 2023),Eight Billion Genies #2,2022-06-22,
Image Comics,Eight Billion Genies (2022 - 2023),Eight Billion Genies #3,2022-07-13,
Image Comics,Eight Billion Genies (2022 - 2023),Eight Billion Genies #4,2022-08-10,
Image Comics,Eight Billion Genies (2022 - 2023),Eight Billion Genies #5,2022-09-28,
Image Comics,Eight Billion Genies (2022 - 2023),Eight Billion Genies #6,2022-11-23,
Image Comics,Eight Billion Genies (2022 - 2023),Eight Billion Genies #7,2023-02-15,
Image Comics,Eight Billion Genies (2022 - 2023),Eight Billion Genies #8,2023-04-12,
Other,Eight BIllion Genies: Director's Cut (2023),Eight Billion Genies #1 Director's Cut,2023-03-31,
Marvel Comics,Excalibur (Vol. 4) (2019 - 2021),Excalibur #21,2021-06-09,
Marvel Comics,Fall of the House of X (2024),Fall of the House of X #1,2024-01-03,5.0
Marvel Comics,Fall of the House of X (2024),Fall of the House of X #2,2024-02-14,4.0
Marvel Comics,Fall of the House of X (2024),Fall of the House of X #3,2024-03-13,5.0
Marvel Comics,Fall of the House of X (2024),Fall of the House of X #4,2024-04-17,4.0
Marvel Comics,Fall of the House of X (2024),Fall of the House of X #5,2024-05-22,4.0
Abrams Books,Fantastic Four: Full Circle (2022),Fantastic Four: Full Circle HC,2022-08-31,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash Annual 2021 #1,2021-07-13,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash 2022 Annual,2022-08-30,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #768,2021-03-30,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #769,2021-04-20,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #770,2021-05-18,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #771,2021-06-15,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #772,2021-07-20,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #773,2021-08-17,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #774,2021-09-21,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #775,2021-10-19,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #776,2021-11-23,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #777,2021-12-28,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #778,2022-01-25,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #779,2022-02-15,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #780,2022-03-15,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #781,2022-04-19,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #782,2022-05-17,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #783,2022-06-21,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #784,2022-07-19,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #785,2022-08-16,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #786,2022-09-20,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #787,2022-10-18,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #788,2022-11-15,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #789,2022-12-20,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #790,2023-01-10,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #791,2023-01-17,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #792,2023-02-07,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #793,2023-02-21,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #794,2023-03-07,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #795,2023-03-21,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #796,2023-04-04,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #797,2023-04-18,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #798,2023-05-02,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #799,2023-05-16,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash #800,2023-06-06,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash Vol. 16: Wally West Returns TP,2022-07-26,
DC Comics,The Flash (Vol. 5) (2016 - 2023),The Flash Vol. 17: Eclipsed TP,2022-12-20,
DC Comics,The Flash: One-Minute War Special (2023),The Flash: One-Minute War Special #1,2023-01-31,
Marvel Comics,Free Comic Book Day 2022: Avengers / X-Men (2022),Free Comic Book Day 2022: Avengers / X-Men #1,2022-05-07,
Marvel Comics,Free Comic Book Day 2023: Uncanny Avengers (2023),Free Comic Book Day 2023: Uncanny Avengers #1,2023-05-06,3.0
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #1,2019-01-09,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #2,2019-01-23,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #3,2019-02-20,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #4,2019-03-20,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #5,2019-04-10,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #6,2019-05-08,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #7,2019-06-12,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #8,2019-06-26,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #9,2019-07-31,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #10,2019-08-14,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #11,2019-08-28,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #12,2019-09-18,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #13,2019-10-30,
Marvel Comics,Friendly Neighborhood Spider-Man (Vol. 2) (2019),Friendly Neighborhood Spider-Man #14,2019-12-11,
Marvel Comics,Giant-Size X-Men: Fantomex (2020),Giant-Size X-Men: Fantomex #1,2020-08-05,
Marvel Comics,Giant-Size X-Men: Jean Grey and Emma Frost (2020),Giant-Size X-Men: Jean Grey and Emma Frost #1,2020-02-26,
Marvel Comics,Giant-Size X-Men: Magneto (2020),Giant-Size X-Men: Magneto #1,2020-07-15,
Marvel Comics,Giant-Size X-Men: Nightcrawler (2020),Giant-Size X-Men: Nightcrawler #1,2020-03-25,
